day,crimedate,NUMCRIMES
7,2016-08-21,786
1,2016-08-22,728
2,2016-08-23,752
3,2016-08-24,823
4,2016-08-25,770
5,2016-08-26,803
6,2016-08-27,819
7,2016-08-28,805
1,2016-08-29,881
2,2016-08-30,755
3,2016-08-31,779
4,2016-09-01,1032
5,2016-09-02,799
6,2016-09-03,830
7,2016-09-04,779
1,2016-09-05,821
2,2016-09-06,761
3,2016-09-07,723
4,2016-09-08,793
5,2016-09-09,818
6,2016-09-10,767
7,2016-09-11,758
1,2016-09-12,793
2,2016-09-13,786
3,2016-09-14,820
4,2016-09-15,823
5,2016-09-16,806
6,2016-09-17,834
7,2016-09-18,781
1,2016-09-19,712
2,2016-09-20,792
3,2016-09-21,731
4,2016-09-22,831
5,2016-09-23,842
6,2016-09-24,833
7,2016-09-25,809
1,2016-09-26,764
2,2016-09-27,735
3,2016-09-28,634
4,2016-09-29,702
5,2016-09-30,772
6,2016-10-01,859
7,2016-10-02,707
1,2016-10-03,771
2,2016-10-04,743
3,2016-10-05,804
4,2016-10-06,754
5,2016-10-07,863
6,2016-10-08,715
7,2016-10-09,682
1,2016-10-10,722
2,2016-10-11,697
3,2016-10-12,745
4,2016-10-13,693
5,2016-10-14,821
6,2016-10-15,823
7,2016-10-16,789
1,2016-10-17,817
2,2016-10-18,774
3,2016-10-19,712
4,2016-10-20,717
5,2016-10-21,760
6,2016-10-22,773
7,2016-10-23,785
1,2016-10-24,769
2,2016-10-25,735
3,2016-10-26,698
4,2016-10-27,729
5,2016-10-28,802
6,2016-10-29,831
7,2016-10-30,786
1,2016-10-31,867
2,2016-11-01,909
3,2016-11-02,749
4,2016-11-03,783
5,2016-11-04,783
6,2016-11-05,821
7,2016-11-06,753
1,2016-11-07,737
2,2016-11-08,644
3,2016-11-09,680
4,2016-11-10,723
5,2016-11-11,797
6,2016-11-12,780
7,2016-11-13,660
1,2016-11-14,670
2,2016-11-15,712
3,2016-11-16,770
4,2016-11-17,810
5,2016-11-18,794
6,2016-11-19,676
7,2016-11-20,663
1,2016-11-21,683
2,2016-11-22,722
3,2016-11-23,699
4,2016-11-24,534
5,2016-11-25,689
6,2016-11-26,720
7,2016-11-27,693
1,2016-11-28,693
2,2016-11-29,698
3,2016-11-30,697
4,2016-12-01,818
5,2016-12-02,833
6,2016-12-03,758
7,2016-12-04,594
1,2016-12-05,676
2,2016-12-06,688
3,2016-12-07,660
4,2016-12-08,606
5,2016-12-09,668
6,2016-12-10,612
7,2016-12-11,512
1,2016-12-12,629
2,2016-12-13,574
3,2016-12-14,610
4,2016-12-15,579
5,2016-12-16,695
6,2016-12-17,614
7,2016-12-18,526
1,2016-12-19,660
2,2016-12-20,693
3,2016-12-21,728
4,2016-12-22,702
5,2016-12-23,728
6,2016-12-24,604
7,2016-12-25,487
1,2016-12-26,647
2,2016-12-27,663
3,2016-12-28,722
4,2016-12-29,647
5,2016-12-30,742
6,2016-12-31,704
7,2017-01-01,1195
1,2017-01-02,613
2,2017-01-03,717
3,2017-01-04,612
4,2017-01-05,610
5,2017-01-06,601
6,2017-01-07,618
7,2017-01-08,590
1,2017-01-09,713
2,2017-01-10,705
3,2017-01-11,661
4,2017-01-12,644
5,2017-01-13,799
6,2017-01-14,685
7,2017-01-15,656
1,2017-01-16,652
2,2017-01-17,704
3,2017-01-18,707
4,2017-01-19,738
5,2017-01-20,783
6,2017-01-21,786
7,2017-01-22,742
1,2017-01-23,789
2,2017-01-24,735
3,2017-01-25,748
4,2017-01-26,674
5,2017-01-27,784
6,2017-01-28,730
7,2017-01-29,633
1,2017-01-30,756
2,2017-01-31,734
3,2017-02-01,845
4,2017-02-02,670
5,2017-02-03,668
6,2017-02-04,638
7,2017-02-05,695
1,2017-02-06,762
2,2017-02-07,692
3,2017-02-08,666
4,2017-02-09,668
5,2017-02-10,744
6,2017-02-11,704
7,2017-02-12,677
1,2017-02-13,718
2,2017-02-14,712
3,2017-02-15,673
4,2017-02-16,671
5,2017-02-17,830
6,2017-02-18,747
7,2017-02-19,674
1,2017-02-20,710
2,2017-02-21,678
3,2017-02-22,703
4,2017-02-23,655
5,2017-02-24,660
6,2017-02-25,598
7,2017-02-26,576
1,2017-02-27,633
2,2017-02-28,631
3,2017-03-01,738
4,2017-03-02,628
5,2017-03-03,673
6,2017-03-04,633
7,2017-03-05,661
1,2017-03-06,683
2,2017-03-07,681
3,2017-03-08,667
4,2017-03-09,676
5,2017-03-10,665
6,2017-03-11,658
7,2017-03-12,553
1,2017-03-13,541
2,2017-03-14,474
3,2017-03-15,606
4,2017-03-16,667
5,2017-03-17,709
6,2017-03-18,674
7,2017-03-19,604
1,2017-03-20,694
2,2017-03-21,649
3,2017-03-22,647
4,2017-03-23,665
5,2017-03-24,778
6,2017-03-25,695
7,2017-03-26,702
1,2017-03-27,722
2,2017-03-28,673
3,2017-03-29,669
4,2017-03-30,690
5,2017-03-31,777
6,2017-04-01,826
7,2017-04-02,690
1,2017-04-03,694
2,2017-04-04,712
3,2017-04-05,633
4,2017-04-06,668
5,2017-04-07,703
6,2017-04-08,695
7,2017-04-09,761
1,2017-04-10,682
2,2017-04-11,703
3,2017-04-12,726
4,2017-04-13,665
5,2017-04-14,773
6,2017-04-15,817
7,2017-04-16,686
1,2017-04-17,752
2,2017-04-18,735
3,2017-04-19,758
4,2017-04-20,713
5,2017-04-21,814
6,2017-04-22,701
7,2017-04-23,703
1,2017-04-24,736
2,2017-04-25,757
3,2017-04-26,758
4,2017-04-27,716
5,2017-04-28,832
6,2017-04-29,615
7,2017-04-30,656
1,2017-05-01,860
2,2017-05-02,689
3,2017-05-03,739
4,2017-05-04,741
5,2017-05-05,797
6,2017-05-06,713
7,2017-05-07,629
1,2017-05-08,705
2,2017-05-09,707
3,2017-05-10,663
4,2017-05-11,734
5,2017-05-12,847
6,2017-05-13,724
7,2017-05-14,712
1,2017-05-15,870
2,2017-05-16,747
3,2017-05-17,834
4,2017-05-18,775
5,2017-05-19,776
6,2017-05-20,664
7,2017-05-21,791
1,2017-05-22,797
2,2017-05-23,738
3,2017-05-24,761
4,2017-05-25,763
5,2017-05-26,767
6,2017-05-27,800
7,2017-05-28,705
1,2017-05-29,768
2,2017-05-30,814
3,2017-05-31,738
4,2017-06-01,882
5,2017-06-02,841
6,2017-06-03,823
7,2017-06-04,820
1,2017-06-05,736
2,2017-06-06,825
3,2017-06-07,787
4,2017-06-08,769
5,2017-06-09,816
6,2017-06-10,785
7,2017-06-11,813
1,2017-06-12,740
2,2017-06-13,807
3,2017-06-14,769
4,2017-06-15,823
5,2017-06-16,835
6,2017-06-17,825
7,2017-06-18,786
1,2017-06-19,745
2,2017-06-20,802
3,2017-06-21,786
4,2017-06-22,819
5,2017-06-23,777
6,2017-06-24,819
7,2017-06-25,797
1,2017-06-26,787
2,2017-06-27,771
3,2017-06-28,707
4,2017-06-29,776
5,2017-06-30,778
6,2017-07-01,933
7,2017-07-02,780
1,2017-07-03,863
2,2017-07-04,796
3,2017-07-05,858
4,2017-07-06,778
5,2017-07-07,758
6,2017-07-08,759
7,2017-07-09,822
1,2017-07-10,779
2,2017-07-11,769
3,2017-07-12,690
4,2017-07-13,818
5,2017-07-14,798
6,2017-07-15,888
7,2017-07-16,812
1,2017-07-17,844
2,2017-07-18,791
3,2017-07-19,768
4,2017-07-20,760
5,2017-07-21,758
6,2017-07-22,755
7,2017-07-23,842
1,2017-07-24,781
2,2017-07-25,850
3,2017-07-26,752
4,2017-07-27,790
5,2017-07-28,851
6,2017-07-29,800
7,2017-07-30,818
1,2017-07-31,792
2,2017-08-01,958
3,2017-08-02,774
4,2017-08-03,849
5,2017-08-04,924
6,2017-08-05,928
7,2017-08-06,865
1,2017-08-07,773
2,2017-08-08,768
3,2017-08-09,769
4,2017-08-10,790
5,2017-08-11,765
6,2017-08-12,812
7,2017-08-13,730
1,2017-08-14,815
2,2017-08-15,795
3,2017-08-16,795
4,2017-08-17,768
5,2017-08-18,859
6,2017-08-19,892
7,2017-08-20,776
1,2017-08-21,754
2,2017-08-22,780
3,2017-08-23,747
4,2017-08-24,801
5,2017-08-25,772
6,2017-08-26,780
7,2017-08-27,755
1,2017-08-28,688
2,2017-08-29,724
3,2017-08-30,788
4,2017-08-31,735
5,2017-09-01,919
6,2017-09-02,771
7,2017-09-03,757
1,2017-09-04,716
2,2017-09-05,704
3,2017-09-06,648
4,2017-09-07,728
5,2017-09-08,702
6,2017-09-09,735
7,2017-09-10,739
1,2017-09-11,691
2,2017-09-12,726
3,2017-09-13,706
4,2017-09-14,734
5,2017-09-15,808
6,2017-09-16,826
7,2017-09-17,812
1,2017-09-18,772
2,2017-09-19,708
3,2017-09-20,827
4,2017-09-21,806
5,2017-09-22,797
6,2017-09-23,830
7,2017-09-24,810
1,2017-09-25,821
2,2017-09-26,749
3,2017-09-27,725
4,2017-09-28,716
5,2017-09-29,810
6,2017-09-30,745
7,2017-10-01,850
1,2017-10-02,752
2,2017-10-03,738
3,2017-10-04,742
4,2017-10-05,747
5,2017-10-06,748
6,2017-10-07,711
7,2017-10-08,717
1,2017-10-09,746
2,2017-10-10,703
3,2017-10-11,617
4,2017-10-12,765
5,2017-10-13,768
6,2017-10-14,647
7,2017-10-15,639
1,2017-10-16,761
2,2017-10-17,719
3,2017-10-18,774
4,2017-10-19,773
5,2017-10-20,849
6,2017-10-21,814
7,2017-10-22,738
1,2017-10-23,739
2,2017-10-24,689
3,2017-10-25,714
4,2017-10-26,753
5,2017-10-27,818
6,2017-10-28,717
7,2017-10-29,696
1,2017-10-30,708
2,2017-10-31,757
3,2017-11-01,819
4,2017-11-02,722
5,2017-11-03,789
6,2017-11-04,754
7,2017-11-05,773
1,2017-11-06,717
2,2017-11-07,677
3,2017-11-08,758
4,2017-11-09,655
5,2017-11-10,678
6,2017-11-11,688
7,2017-11-12,665
1,2017-11-13,718
2,2017-11-14,699
3,2017-11-15,709
4,2017-11-16,764
5,2017-11-17,738
6,2017-11-18,696
7,2017-11-19,690
1,2017-11-20,762
2,2017-11-21,672
3,2017-11-22,655
4,2017-11-23,543
5,2017-11-24,683
6,2017-11-25,714
7,2017-11-26,664
1,2017-11-27,774
2,2017-11-28,783
3,2017-11-29,771
4,2017-11-30,750
5,2017-12-01,913
6,2017-12-02,757
7,2017-12-03,676
1,2017-12-04,809
2,2017-12-05,710
3,2017-12-06,712
4,2017-12-07,625
5,2017-12-08,735
6,2017-12-09,659
7,2017-12-10,664
1,2017-12-11,739
2,2017-12-12,684
3,2017-12-13,700
4,2017-12-14,718
5,2017-12-15,766
6,2017-12-16,772
7,2017-12-17,729
1,2017-12-18,726
2,2017-12-19,763
3,2017-12-20,704
4,2017-12-21,747
5,2017-12-22,784
6,2017-12-23,714
7,2017-12-24,502
1,2017-12-25,394
2,2017-12-26,526
3,2017-12-27,523
4,2017-12-28,601
5,2017-12-29,574
6,2017-12-30,621
7,2017-12-31,541
1,2018-01-01,928
2,2018-01-02,560
3,2018-01-03,575
4,2018-01-04,602
5,2018-01-05,664
6,2018-01-06,585
7,2018-01-07,533
1,2018-01-08,619
2,2018-01-09,652
3,2018-01-10,720
4,2018-01-11,700
5,2018-01-12,707
6,2018-01-13,617
7,2018-01-14,564
1,2018-01-15,528
2,2018-01-16,614
3,2018-01-17,649
4,2018-01-18,626
5,2018-01-19,709
6,2018-01-20,729
7,2018-01-21,718
1,2018-01-22,724
2,2018-01-23,718
3,2018-01-24,613
4,2018-01-25,641
5,2018-01-26,764
6,2018-01-27,754
7,2018-01-28,671
1,2018-01-29,652
2,2018-01-30,636
3,2018-01-31,708
4,2018-02-01,735
5,2018-02-02,674
6,2018-02-03,629
7,2018-02-04,512
1,2018-02-05,542
2,2018-02-06,588
3,2018-02-07,542
4,2018-02-08,556
5,2018-02-09,505
6,2018-02-10,534
7,2018-02-11,537
1,2018-02-12,572
2,2018-02-13,644
3,2018-02-14,661
4,2018-02-15,698
5,2018-02-16,663
6,2018-02-17,604
7,2018-02-18,587
1,2018-02-19,625
2,2018-02-20,645
3,2018-02-21,639
4,2018-02-22,677
5,2018-02-23,671
6,2018-02-24,681
7,2018-02-25,655
1,2018-02-26,625
2,2018-02-27,691
3,2018-02-28,647
4,2018-03-01,824
5,2018-03-02,691
6,2018-03-03,664
7,2018-03-04,648
1,2018-03-05,665
